           1           1       16246
           2           2       15431       16246
           3           2       15330       15431
           4           2       15330       16015
           5           2       15329       16015
           6           2       15329       15620
           7           2       15327       15620
           8           2       15327       15607
           9           2       15325       15607
          10           2       15325       15582
          11           2       15323       15582
          12           2       15323       15578
          13           2       15321       15578
          14           2       15321       15560
          15           2       15319       15560
          16           2       15319       15545
          17           2       15317       15545
          18           2       15317       15534
          19           2       15315       15534
          20           2       15315       15522
          21           2       15313       15522
          22           2       15313       15499
          23           2       15312       15499
          24           2       15312       15495
          25           2       15310       15495
          26           2       15310       15479
          27           2       15308       15479
          28           2       15307       15308
          29           2       15306       15307
          30           2       15306       16254
          31           2       15455       16254
          32           2       15455       16014
          33           2       15222       16014
          34           2       15222       15446
          35           2       15220       15446
          36           2       15219       15220
          37           2       15217       15219
          38           2       15216       15217
          39           2       15215       15216
          40           2       15215       15853
          41           2       15214       15853
          42           2       15214       15844
          43           2       15212       15844
          44           2       15212       15828
          45           2       15211       15828
          46           2       15210       15211
          47           2       15209       15210
          48           2       15209       16253
          49           2       15884       16253
          50           2       15884       16013
          51           2       15205       16013
          52           2       15201       15205
          53           2       15201       15882
          54           2       15508       15882
          55           2       15508       15509
          56           2       15509       15511
          57           2       15511       15885
          58           2       15204       15885
          59           2       15204       15207
          60           2       15207       15208
          61           2       15208       15229
          62           2       15229       15425
          63           2       15425       15426
          64           2       15426       15880
          65           1       15880
          66           2       15880       16252
          67           2       15422       16252
          68           2       15422       15622
          69           2       15419       15622
          70           2       15419       15587
          71           2       15416       15587
          72           2       15416       15580
          73           2       15414       15580
          74           2       15414       15547
          75           2       15412       15547
          76           2       15412       15533
          77           2       15113       15533
          78           2       15112       15113
          79           2       15111       15112
          80           2       15111       15667
          81           2       15110       15667
          82           2       15110       15490
          83           2       15106       15490
          84           2       15106       15481
          85           2       15105       15481
          86           2       15105       15467
          87           2       15104       15467
          88           2       15104       15466
          89           2       15103       15466
          90           2       15102       15103
          91           2       15101       15102
          92           2       15101       15843
          93           2       15100       15843
          94           2       15100       15789
          95           2       15099       15789
          96           2       15075       15099
          97           2       15075       15773
          98           2       15076       15773
          99           2       15076       15077
         100           2       15077       15078
         101           2       15078       15079
         102           2       15079       15080
         103           2       15080       15081
         104           2       15081       15082
         105           2       15082       15083
         106           2       15083       15084
         107           2       15084       15085
         108           2       15085       15086
         109           2       15086       15087
         110           2       15087       15088
         111           2       15088       15089
         112           2       15089       15090
         113           2       15090       15091
         114           2       15091       15092
         115           2       15092       15093
         116           2       15093       15094
         117           2       15094       15095
         118           2       15095       15096
         119           2       15096       15097
         120           2       15097       15098
         121           2       15098       16251
         122           2       15457       16251
         123           2       15457       15458
         124           2       15458       15460
         125           2       15107       15460
         126           2       15107       15860
         127           2       15109       15860
         128           2       15109       16012
         129           2       15673       16012
         130           2       15673       15675
         131           2       15114       15675
         132           2       15114       15723
         133           2       15116       15723
         134           2       15116       15117
         135           2       15117       15118
         136           2       15118       15120
         137           2       15120       15121
         138           2       15121       15122
         139           2       15122       15123
         140           2       15123       15124
         141           2       15124       15125
         142           2       15125       15126
         143           2       15126       15599
         144           2       15127       15599
         145           2       15127       15128
         146           2       15128       16011
         147           2       15617       16011
         148           2       15617       15619
         149           2       15619       15738
         150           2       15738       15740
         151           2       15740       15753
         152           2       15129       15753
         153           2       15129       15130
         154           2       15130       15131
         155           2       15131       15132
         156           2       15132       15133
         157           2       15133       15134
         158           2       15134       15136
         159           2       15136       15137
         160           2       15137       15661
         161           2       15139       15661
         162           2       15139       15567
         163           2       15141       15567
         164           2       15141       15501
         165           2       15143       15501
         166           2       15143       15144
         167           2       15144       15145
         168           2       15145       15146
         169           2       15146       15147
         170           2       15147       15148
         171           2       15148       15149
         172           2       15149       15778
         173           2       15151       15778
         174           2       15151       15152
         175           2       15152       15153
         176           2       15153       15761
         177           2       15155       15761
         178           2       15155       15156
         179           2       15156       15157
